"","gmean","variance","residual_variance"
"RSRP1",0.38033731741309,1.13582607033307,0.991351194982467
"TMEM50A",0.700030551629117,4.33848001883564,0.75175442447354
"RHCE",0.0350658351542266,0.0578677296032897,0.46353536174039
"MACO1",0.295878416880871,0.751489737456142,1.02119517649098
"LDLRAP1",0.205090769871872,0.491631360271708,0.785420223025719
"AL606491.1",0.00365837366014698,0.00633963407140561,0.123024830707504
"MAN1C1",0.0400024286895324,0.0715177425755194,0.848131067876013
"SELENON",1.11234045314581,6.10202172300173,0.862686437359164
"AL020996.1",0.00460791254852922,0.00768775284985606,0.177269174565767
"MTFR1L",0.306815588260233,0.669439041072937,1.00358834954233
"AUNIP",0.00378968489639098,0.00542971596403527,0.134823427108604
"PAQR7",0.122366595142632,0.222623733759368,0.900650413003115
"STMN1",0.533507685623679,2.41198600902635,1.2053857917777
"PAFAH2",0.220422855818055,0.444593683703531,1.10558063604888
"EXTL1",0.00365837366014698,0.00633963407140561,0.151652223678407
"SLC30A2",0.00315707487274586,0.00452890117561088,0.112006901539853
"PDIK1L",0.189933769082247,0.408850329436697,0.786408504345957
"FAM110D",0.0129292242247805,0.0214730742446004,0.493588265080778
"ZNF593",0.304534311278936,0.925876225482593,0.942772764393472
"CNKSR1",0.22007910387151,0.543641104133278,0.842754975934733
"CEP85",0.0973185581851017,0.201211072449591,0.735453493952074
"SH3BGRL3",1.37889099858821,12.3744186806726,1.00772589748036
"UBXN11",0.0647995332948632,0.0973107554471986,0.763956208283906
"CD52",0.157083651047998,0.897517318029822,1.83022700257968
"CRYBG2",0.0458079111662346,0.0773608319771457,0.679056535775153
"ZNF683",0.0109611703932442,0.0165800403111514,0.372942950656457
"DHDDS",0.14196187298387,0.293696655068209,0.855704363756126
"HMGN2",2.14652387070241,40.1979243605228,0.946641656522521
"RPS6KA1",0.510722173087324,1.85670631162066,0.863952035779207
"AL512408.1",0.00252486353365411,0.00362643123828724,0.0897575816464036
"ARID1A",0.569097437611792,1.88834737934068,1.04850801091635
"PIGV",0.107888715093768,0.195765632571014,0.600153162780097
"ZDHHC18",0.140575284998333,0.321381503131748,0.895406821986512
"SFN",1.89134447257088,10.8474842357413,1.50084506748615
"GPN2",0.165351285369089,0.34050550730107,1.00324586093482
"GPATCH3",0.0743285471020618,0.117132404877559,0.699704920311929
"NUDC",0.726518775303508,3.31553841373013,0.781750030593084
"NR0B2",0.149954182745026,0.366146246474017,0.846723522948682
"KDF1",0.148063888652505,0.343428914044395,0.755639008451206
"TRNP1",0.0297791983669067,0.0481387643734165,0.642244922129526
"TENT5B",0.0282920087478857,0.0482943483699473,0.707380776640718
"SLC9A1",0.47559714229434,1.75958465693521,1.05496355828367
"WDTC1",0.321937623719104,0.736628983064101,1.09126707626438
"TMEM222",0.348633226870496,0.705001984109745,1.22740275225597
"SYTL1",0.379526696392684,1.1405920715885,0.988331692244769
"MAP3K6",0.468209176542724,1.587306001032,0.963208071112983
